,,,,,,,,,
TEXT,,,,,,,,,LABEL
"1. ""Is your name Google? Because you have everything I've been searching for."" (Flirt)",,,,,,,,,1
"2. ""Do you believe in love at first sight, or should I walk by again?"" (Flirt)",,,,,,,,,1
"3. ""Are you a parking ticket? Because you've got 'fine' written all over you."" (Flirt)",,,,,,,,,1
"4. ""I seem to have lost my phone number. Can I have yours?"" (Flirt)",,,,,,,,,1
"5. ""If you were a vegetable, you'd be a cute-cumber."" (Flirt)",,,,,,,,,1
"6. ""Aside from being gorgeous, what do you do for a living?"" (Flirt)",,,,,,,,,1
"7. ""You must be a magician, because whenever I look at you, everyone else disappears!"" (Flirt)",,,,,,,,,1
"8. ""Do you have a map? I keep getting lost in your eyes."" (Flirt)",,,,,,,,,1
"9. ""I'm not a photographer, but I can picture us together."" (Flirt)",,,,,,,,,1
"10. ""Is your name Wi-Fi? Because I'm feeling a connection."" (Flirt)",,,,,,,,,1
"11. ""I'm no organ donor, but I'd be happy to give you my heart."" (Flirt)",,,,,,,,,1
"12. ""Are you a keyboard? Because you're my type."" (Flirt)",,,,,,,,,1
"13. ""If you were a fruit, you'd be a fine-apple."" (Flirt)",,,,,,,,,1
"14. ""I'm not sure what's tighter, our jeans or our connection."" (Flirt)",,,,,,,,,1
"15. ""You look like a warm cup of coffee. I'd love to have you every morning."" (Flirt)",,,,,,,,,1
"16. ""My love for you is like diarrhea, I can't hold it in."" (Flirt)",,,,,,,,,1
"17. ""I'm going to complain to Spotify for you not being this weeks hottest single."" (Flirt)",,,,,,,,,1
"18. ""You're so sweet, you're giving me a toothache."" (Flirt)",,,,,,,,,1
"19. ""I think you're suffering from a lack of vitamin me."" (Flirt)",,,,,,,,,1
"20. ""If you were a triangle, you'd be acute one!"" (Flirt)",,,,,,,,,1
"21. ""I'm not trying to impress you, but... I'm Batman."" (Flirt)",,,,,,,,,1
"22. ""You're like a fine wine, the older you get, the better you get."" (Flirt)",,,,,,,,,1
"23. ""I'm not a betting man, but I'd put money on us going out."" (Flirt)",,,,,,,,,1
"24. ""You're so hot, you must be the reason for global warming."" (Flirt)",,,,,,,,,1
"25. ""I'm a thief, and I'm here to steal your heart."" (Flirt)",,,,,,,,,1
"26. ""I'm not a genie, but I can make your dreams come true."" (Flirt)",,,,,,,,,1
"27. ""You're so beautiful, you make me forget my pickup line."" (Flirt)",,,,,,,,,1
"28. ""I'd say God bless you, but it looks like he already did."" (Flirt)",,,,,,,,,1
"29. ""Are you a bank loan? Because you have my interest."" (Flirt)",,,,,,,,,1
"30. ""You're so charming, you could sell ice to an Eskimo."" (Flirt)",,,,,,,,,1
"31. ""I'm not a hoarder, but I'd keep you forever."" (Flirt)",,,,,,,,,1
"32. ""You're so bright, you make the sun jealous."" (Flirt)",,,,,,,,,1
"33. ""I'm not a poet, but your beauty is inspiring."" (Flirt)",,,,,,,,,1
"34. ""You're so sweet, you could put Hershey's out of business."" (Flirt)",,,,,,,,,1
"35. ""I'm not a superhero, but I'd save you any day."" (Flirt)",,,,,,,,,1
"36. ""You're so smooth, you could charm a snake."" (Flirt)",,,,,,,,,1
"37. ""I'm not a gambler, but I'd bet on us."" (Flirt)",,,,,,,,,1
"38. ""You're so captivating, you could stop traffic."" (Flirt)",,,,,,,,,1
"39. ""I'm not a chef, but I'd cook you a perfect date."" (Flirt)",,,,,,,,,1
"40. ""You're so radiant, you could light up a room."" (Flirt)",,,,,,,,,1
"41. ""I'm not a magician, but I can make you smile."" (Flirt)",,,,,,,,,1
"42. ""You're so elegant, you could grace a royal ball."" (Flirt)",,,,,,,,,1
"43. ""I'm not a musician, but you make my heart sing."" (Flirt)",,,,,,,,,1
